Time,keypoints,bboxes,bbox_labels,num_push_ups,frame_count,expected_pose,elbow_angle,shoulder_keypoint,elbow_keypoint,wrist_keypoint,filename
15:44:26,"[[[0.20984514 0.49277088]
  [0.19801173 0.4638641 ]
  [0.2009913  0.46449572]
  [0.23647691 0.39013323]
  [0.23408198 0.39368987]
  [0.3478564  0.3133831 ]
  [0.35831138 0.3255944 ]
  [0.37734824 0.5071554 ]
  [0.4148246  0.51227677]
  [0.35190985 0.69583964]
  [0.4122357  0.68657196]
  [0.65426785 0.39532083]
  [0.649462   0.41744664]
  [0.93326783 0.5017081 ]
  [0.9054024  0.5259533 ]
  [0.98710436 0.5428251 ]
  [0.9688132  0.54782456]]]",[[0.19801173 0.3133831  0.98710436 0.69583964]],['person'],0,11,down,151.17511068542666,"(445, 225)","(483, 365)","(450, 501)",push_ups.mp4
15:44:26,"[[[0.20079257 0.51986575]
  [0.19077078 0.49092752]
  [0.19289263 0.49158117]
  [0.22365965 0.43170854]
  [0.2205582  0.43289492]
  [0.32844776 0.34034   ]
  [0.33069056 0.40077487]
  [0.37419403 0.4735193 ]
  [0.42548943 0.5199339 ]
  [0.35240552 0.6955396 ]
  [0.41553995 0.6923404 ]
  [0.65148115 0.42736325]
  [0.64340454 0.43776783]
  [0.9324838  0.5036447 ]
  [0.905014   0.54458493]
  [0.9804113  0.5344306 ]
  [0.96768355 0.5617192 ]]]",[[0.19077078 0.34034    0.9804113  0.6955396 ]],['person'],0,12,down,151.17511068542666,"(420, 245)",,"(451, 500)",push_ups.mp4
15:44:26,"[[[0.21025448 0.56690943]
  [0.19586292 0.5319834 ]
  [0.19877951 0.5324052 ]
  [0.22463536 0.46673086]
  [0.2240382  0.47030145]
  [0.2997993  0.4046868 ]
  [0.30560336 0.45414498]
  [0.35060242 0.35983387]
  [0.38878375 0.5499702 ]
  [0.34938404 0.6993239 ]
  [0.36380023 0.6996189 ]
  [0.6490964  0.44421366]
  [0.6408314  0.45743072]
  [0.91876036 0.51782656]
  [0.88704264 0.57781607]
  [0.9180157  0.5920043 ]
  [0.9469109  0.58029455]]]",[[0.19586292 0.35983387 0.9469109  0.6996189 ]],['person'],0.5,13,up,63.55380452837483,"(383, 291)","(448, 259)","(447, 503)",push_ups.mp4
15:44:26,"[[[0.20578018 0.587462  ]
  [0.19246902 0.5522714 ]
  [0.19439031 0.55479276]
  [0.22095758 0.49390465]
  [0.22070548 0.49298227]
  [0.29778528 0.40853757]
  [0.3034834  0.4811271 ]
  [0.34417775 0.36235788]
  [0.36655354 0.5236269 ]
  [0.34635195 0.6989637 ]
  [0.3598738  0.6918033 ]
  [0.63836765 0.4657096 ]
  [0.6321029  0.47412556]
  [0.9193935  0.5276732 ]
  [0.8767089  0.58454627]
  [0.97264016 0.53635794]
  [0.96248907 0.577146  ]]]",[[0.19246902 0.36235788 0.97264016 0.6989637 ]],['person'],0.5,14,up,60.753711200742764,"(381, 294)","(440, 260)","(443, 503)",push_ups.mp4
15:44:26,"[[[0.19303916 0.60400623]
  [0.18607427 0.563741  ]
  [0.18862505 0.5638806 ]
  [0.2100041  0.5145408 ]
  [0.21175586 0.5154263 ]
  [0.28510383 0.4577765 ]
  [0.28834134 0.48738405]
  [0.34814286 0.36380824]
  [0.36145762 0.5332478 ]
  [0.34546953 0.69848114]
  [0.35082585 0.6933453 ]
  [0.6280915  0.47134775]
  [0.62048686 0.49898934]
  [0.93457144 0.51781833]
  [0.88722205 0.57191867]
  [0.96988976 0.5635041 ]
  [0.9589669  0.58027565]]]",[[0.18607427 0.36380824 0.96988976 0.69848114]],['person'],0.5,15,up,49.27314513621791,"(364, 329)","(445, 261)","(442, 502)",push_ups.mp4
15:44:26,"[[[ 0.19296457  0.62156814]
  [ 0.18034932  0.5896427 ]
  [ 0.18843265  0.5827891 ]
  [ 0.20929118  0.53449667]
  [ 0.20943293  0.531967  ]
  [ 0.2956694   0.45901904]
  [ 0.28611666  0.4708201 ]
  [ 0.34724587  0.36865246]
  [ 0.3595123   0.51601875]
  [ 0.3439146   0.70524764]
  [ 0.35115218  0.69241697]
  [ 0.6285053   0.48738644]
  [ 0.62130314  0.5047771 ]
  [ 0.9138378   0.54864824]
  [ 0.88914216  0.5727769 ]
  [ 0.968069    0.5385216 ]
  [-1.         -1.        ]]]",[[0.18034932 0.36865246 0.968069   0.70524764]],['person'],0.5,16,up,44.49041242074727,"(378, 330)","(444, 265)","(440, 507)",push_ups.mp4
15:44:26,"[[[0.18968388 0.60502493]
  [0.17793134 0.57934767]
  [0.18334438 0.58001983]
  [0.20135261 0.5323334 ]
  [0.20327522 0.5335292 ]
  [0.27536997 0.47650257]
  [0.27457327 0.50490487]
  [0.3470625  0.36880165]
  [0.34973407 0.54460144]
  [0.34384716 0.7001173 ]
  [0.3381382  0.7050532 ]
  [0.6244997  0.4993583 ]
  [0.61339796 0.5380624 ]
  [0.9173822  0.55083054]
  [0.8890542  0.5865256 ]
  [0.9671872  0.5373526 ]
  [0.9659125  0.53898036]]]",[[0.17793134 0.36880165 0.9671872  0.7050532 ]],['person'],0.5,17,up,48.749016583122724,"(352, 343)","(444, 265)","(440, 504)",push_ups.mp4
15:44:26,"[[[0.19357905 0.6189742 ]
  [0.18832946 0.59199905]
  [0.18723598 0.59488994]
  [0.20337974 0.53956795]
  [0.20873536 0.5456304 ]
  [0.26444316 0.48965952]
  [0.27555346 0.4965473 ]
  [0.35095185 0.37779447]
  [0.35072318 0.5256117 ]
  [0.34655708 0.69443774]
  [0.34808326 0.68924546]
  [0.6217449  0.50779057]
  [0.6161928  0.52584034]
  [0.9123007  0.5782516 ]
  [0.8867904  0.5710191 ]
  [0.9704197  0.5399014 ]
  [0.96823084 0.53984874]]]",[[0.18723598 0.37779447 0.9704197  0.69443774]],['person'],0.5,18,up,52.70485277747234,"(338, 352)","(449, 272)","(443, 499)",push_ups.mp4
15:44:26,"[[[ 0.19282909  0.64761347]
  [ 0.1913157   0.6112861 ]
  [ 0.1905222   0.6127629 ]
  [ 0.20768802  0.5609522 ]
  [ 0.20916788  0.5654775 ]
  [ 0.25377786  0.4926157 ]
  [ 0.26847434  0.5204216 ]
  [ 0.34956676  0.37872452]
  [ 0.35280737  0.53010327]
  [ 0.3456286   0.69502896]
  [ 0.3471833   0.6950301 ]
  [ 0.62175596  0.517066  ]
  [ 0.61814326  0.5619748 ]
  [ 0.9154257   0.5647296 ]
  [ 0.90160525  0.61506134]
  [ 0.96866876  0.5392382 ]
  [-1.         -1.        ]]]",[[0.1905222  0.37872452 0.96866876 0.6950301 ]],['person'],0.5,19,up,55.05364744506389,"(324, 354)","(447, 272)","(442, 500)",push_ups.mp4
15:44:26,"[[[ 0.20086725  0.64806384]
  [ 0.19415125  0.61313397]
  [ 0.19386008  0.6131034 ]
  [ 0.21523929  0.5670245 ]
  [ 0.2144035   0.56729394]
  [ 0.25456396  0.5113689 ]
  [ 0.2678937   0.5226701 ]
  [ 0.35767826  0.48366085]
  [ 0.35298923  0.5089192 ]
  [ 0.34582925  0.6930638 ]
  [ 0.34683526  0.6931285 ]
  [ 0.62305295  0.5296199 ]
  [ 0.6166106   0.5721045 ]
  [ 0.950665    0.5300007 ]
  [ 0.87405187  0.6016215 ]
  [-1.         -1.        ]
  [ 0.8759497   0.62937003]]]",[[0.19386008 0.48366085 0.950665   0.6931285 ]],['person'],0.5,20,up,55.05364744506389,"(325, 368)",,"(442, 499)",push_ups.mp4
15:44:27,"[[[ 0.20309852  0.65126395]
  [ 0.19577083  0.6240688 ]
  [ 0.19272211  0.6253574 ]
  [ 0.21356538  0.5653006 ]
  [ 0.21182947  0.56861055]
  [ 0.25427645  0.50558305]
  [ 0.26635078  0.52201337]
  [ 0.35558975  0.48510218]
  [ 0.36185443  0.54551363]
  [ 0.3469065   0.6927049 ]
  [ 0.34864995  0.69307405]
  [ 0.6170137   0.53024435]
  [ 0.6176008   0.57771343]
  [ 0.950042    0.5296956 ]
  [ 0.873868    0.6036997 ]
  [-1.         -1.        ]
  [ 0.8262848   0.6483979 ]]]",[[0.19272211 0.48510218 0.950042   0.69307405]],['person'],0.5,21,up,55.05364744506389,"(325, 364)",,"(444, 498)",push_ups.mp4
15:44:27,"[[[ 0.19319426  0.685003  ]
  [ 0.19412804  0.6395    ]
  [ 0.18887717  0.6422125 ]
  [ 0.21611562  0.5750742 ]
  [ 0.2105548   0.5790043 ]
  [ 0.26276487  0.50660086]
  [ 0.26573363  0.5374244 ]
  [ 0.35728443  0.4823599 ]
  [ 0.3512786   0.55053383]
  [ 0.34876028  0.6891655 ]
  [ 0.3501562   0.6917162 ]
  [ 0.6249198   0.52914184]
  [ 0.6251051   0.57964265]
  [ 0.9501281   0.5276751 ]
  [ 0.88952124  0.5887364 ]
  [-1.         -1.        ]
  [ 0.82819736  0.65822566]]]",[[0.18887717 0.4823599  0.9501281  0.6917162 ]],['person'],0.5,22,up,55.05364744506389,,,"(446, 496)",push_ups.mp4
15:44:27,"[[[ 0.19718148  0.6703225 ]
  [ 0.19698308  0.62605846]
  [ 0.19348727  0.6275562 ]
  [ 0.21782146  0.56687623]
  [ 0.21448925  0.5693778 ]
  [ 0.26436284  0.5058045 ]
  [ 0.26706335  0.5196642 ]
  [ 0.37005106  0.4766912 ]
  [ 0.35217378  0.5320766 ]
  [ 0.3478334   0.6900568 ]
  [ 0.34924883  0.69029737]
  [ 0.62487763  0.52953446]
  [ 0.6244692   0.57860625]
  [ 0.9506813   0.52715117]
  [ 0.9022844   0.6145061 ]
  [-1.         -1.        ]
  [ 0.8603395   0.63549143]]]",[[0.19348727 0.4766912  0.9506813  0.69029737]],['person'],0.5,23,up,55.05364744506389,"(338, 364)",,"(445, 496)",push_ups.mp4
15:44:27,"[[[ 0.20432743  0.6489697 ]
  [ 0.1976423   0.620736  ]
  [ 0.19461782  0.6211204 ]
  [ 0.2200894   0.5643747 ]
  [ 0.21690513  0.5628863 ]
  [ 0.26632023  0.4939257 ]
  [ 0.26703602  0.50371504]
  [ 0.35602048  0.38060352]
  [ 0.35430193  0.50455374]
  [ 0.34842968  0.69338644]
  [ 0.34861985  0.68469834]
  [ 0.6207619   0.5189831 ]
  [ 0.6189763   0.5594683 ]
  [ 0.93967724  0.52899307]
  [ 0.8897523   0.5756618 ]
  [ 0.96827126  0.53869265]
  [-1.         -1.        ]]]",[[0.19461782 0.38060352 0.96827126 0.69338644]],['person'],0.5,24,up,52.2963273798213,"(340, 355)","(455, 274)","(445, 499)",push_ups.mp4
15:44:27,"[[[ 0.19630444  0.6334252 ]
  [ 0.19157411  0.6051877 ]
  [ 0.19089901  0.6058245 ]
  [ 0.21076842  0.55157346]
  [ 0.21106547  0.5533306 ]
  [ 0.26562828  0.48046702]
  [ 0.27038953  0.48802507]
  [ 0.3564815   0.3806817 ]
  [ 0.3509991   0.52632695]
  [ 0.34815624  0.69426936]
  [ 0.34964874  0.6864393 ]
  [ 0.6230185   0.5010895 ]
  [ 0.6191952   0.5259473 ]
  [ 0.9032251   0.5663011 ]
  [ 0.87803006  0.58854747]
  [-1.         -1.        ]
  [ 0.9648491   0.53018904]]]",[[0.19089901 0.3806817  0.9648491  0.69426936]],['person'],0.5,25,up,55.731594588746546,"(340, 345)","(456, 274)","(445, 499)",push_ups.mp4
15:44:27,"[[[0.19356994 0.60818803]
  [0.1889991  0.5759312 ]
  [0.18934956 0.5762216 ]
  [0.21715608 0.53451264]
  [0.21701108 0.5295979 ]
  [0.2814654  0.48181644]
  [0.28220057 0.47836593]
  [0.35742885 0.3759905 ]
  [0.35429704 0.5049754 ]
  [0.3481178  0.6959839 ]
  [0.35025978 0.68289024]
  [0.6313517  0.4866075 ]
  [0.62400615 0.5048859 ]
  [0.8969198  0.5790767 ]
  [0.8738238  0.5754746 ]
  [0.96773994 0.5276502 ]
  [0.96561724 0.5297899 ]]]",[[0.1889991  0.3759905  0.96773994 0.6959839 ]],['person'],0.5,26,up,48.94738655595489,"(360, 346)","(457, 270)","(445, 501)",push_ups.mp4
15:44:27,"[[[ 0.20026937  0.5955799 ]
  [ 0.18839207  0.5698111 ]
  [ 0.18805894  0.57108945]
  [ 0.21237557  0.51678133]
  [ 0.21429844  0.51994985]
  [ 0.29694855  0.46936846]
  [ 0.29041377  0.48456454]
  [ 0.35479942  0.3688654 ]
  [ 0.35982683  0.5188372 ]
  [ 0.34744662  0.6958261 ]
  [ 0.35235488  0.688011  ]
  [ 0.63338757  0.46986023]
  [ 0.62759376  0.48065132]
  [ 0.93036026  0.51384103]
  [ 0.88217694  0.5984008 ]
  [ 0.9681664   0.5279042 ]
  [-1.         -1.        ]]]",[[0.18805894 0.3688654  0.9681664  0.6958261 ]],['person'],0.5,27,up,43.34817635618176,"(380, 337)","(454, 265)","(444, 500)",push_ups.mp4
15:44:27,"[[[0.20875204 0.58406526]
  [0.19320114 0.5555388 ]
  [0.20000829 0.55541426]
  [0.21830782 0.5002444 ]
  [0.2221618  0.5024951 ]
  [0.2716732  0.48311633]
  [0.3047734  0.511675  ]
  [0.35400078 0.3600367 ]
  [0.35229686 0.64154214]
  [0.22301371 0.6295584 ]
  [0.35542557 0.69454634]
  [0.63471156 0.45970201]
  [0.6257539  0.48026016]
  [0.918817   0.5149049 ]
  [0.8737034  0.5832009 ]
  [0.97016793 0.52849185]
  [0.84042394 0.6440896 ]]]",[[0.19320114 0.3600367  0.97016793 0.69454634]],['person'],0.5,28,up,43.34817635618176,"(347, 347)","(453, 259)",,push_ups.mp4
15:44:27,"[[[ 0.20669569  0.5628841 ]
  [ 0.19276373  0.5324762 ]
  [ 0.19746704  0.53246605]
  [ 0.22157508  0.47423372]
  [ 0.22549708  0.47863925]
  [ 0.31342894  0.39078674]
  [ 0.30764398  0.4808707 ]
  [ 0.3551875   0.3568706 ]
  [ 0.3623236   0.6062773 ]
  [ 0.24602264  0.6194198 ]
  [ 0.35422045  0.69836766]
  [ 0.638607    0.43963167]
  [ 0.6279271   0.47110608]
  [ 0.90636957  0.510371  ]
  [ 0.8714079   0.56680787]
  [ 0.9732365   0.5257847 ]
  [-1.         -1.        ]]]",[[0.19276373 0.3568706  0.9732365  0.69836766]],['person'],0.5,29,up,43.34817635618176,"(401, 281)","(454, 256)",,push_ups.mp4
15:44:27,"[[[0.2092676  0.54118514]
  [0.20117977 0.5027227 ]
  [0.20346938 0.5022435 ]
  [0.2218379  0.44501632]
  [0.22269882 0.44929567]
  [0.33576235 0.3485285 ]
  [0.3118986  0.4154634 ]
  [0.36689147 0.4657434 ]
  [0.3776943  0.5133693 ]
  [0.34855306 0.7005686 ]
  [0.3579855  0.6945186 ]
  [0.6426346  0.42292345]
  [0.63433003 0.44186062]
  [0.9015812  0.50707924]
  [0.8790388  0.57962793]
  [0.9765067  0.52427346]
  [0.98029923 0.55405444]]]",[[0.20117977 0.3485285  0.98029923 0.7005686 ]],['person'],0.5,30,up,43.34817635618176,"(429, 250)",,"(446, 504)",push_ups.mp4
15:44:27,"[[[0.21938235 0.5055564 ]
  [0.20658332 0.47827703]
  [0.20899726 0.4788116 ]
  [0.23654275 0.41408136]
  [0.2345265  0.41651088]
  [0.35039926 0.3290657 ]
  [0.3517744  0.3311243 ]
  [0.37132174 0.49491453]
  [0.3865143  0.52409077]
  [0.34901342 0.69569135]
  [0.36775446 0.69046235]
  [0.6372318  0.37597224]
  [0.6333178  0.40935943]
  [0.889935   0.5034067 ]
  [0.8683723  0.562     ]
  [0.9759488  0.5088594 ]
  [0.9812048  0.5349972 ]]]",[[0.20658332 0.3290657  0.9812048  0.69569135]],['person'],1.0,31,down,155.93318771177098,"(448, 236)","(475, 356)","(446, 500)",push_ups.mp4
15:44:27,"[[[0.22386335 0.48747957]
  [0.2121574  0.4615697 ]
  [0.21498637 0.46251252]
  [0.24153876 0.38912815]
  [0.23864433 0.39202166]
  [0.35488406 0.29716277]
  [0.35283926 0.30673715]
  [0.39235228 0.45923623]
  [0.3896883  0.5089795 ]
  [0.353101   0.6908331 ]
  [0.38995233 0.68275166]
  [0.6422075  0.3588339 ]
  [0.6350673  0.39418617]
  [0.8878526  0.49198237]
  [0.8321028  0.56529737]
  [0.9742418  0.49634337]
  [0.98462725 0.54436266]]]",[[0.2121574  0.29716277 0.98462725 0.6908331 ]],['person'],1.0,32,down,140.71168849154694,"(454, 213)","(502, 330)","(451, 497)",push_ups.mp4
15:44:27,"[[[0.2265278  0.44230744]
  [0.21357995 0.4097363 ]
  [0.21474016 0.41690424]
  [0.24553326 0.34297818]
  [0.24139857 0.3543446 ]
  [0.34920463 0.24995448]
  [0.363464   0.37064084]
  [0.38887182 0.50304115]
  [0.41621077 0.5313608 ]
  [0.3483991  0.696133  ]
  [0.4156634  0.68887067]
  [0.6401322  0.3259266 ]
  [0.62943476 0.39515528]
  [0.88173085 0.47649783]
  [0.8815243  0.5162477 ]
  [0.9822619  0.50930315]
  [0.98666227 0.55473536]]]",[[0.21357995 0.24995448 0.98666227 0.696133  ]],['person'],1.0,33,down,143.91659712022658,"(446, 179)","(497, 362)","(445, 501)",push_ups.mp4
15:44:27,"[[[0.22121245 0.4141059 ]
  [0.21057758 0.38443658]
  [0.21103273 0.38922897]
  [0.24844474 0.31330165]
  [0.24719656 0.32361305]
  [0.35483694 0.2211243 ]
  [0.36955005 0.35983887]
  [0.40355146 0.44493774]
  [0.4282752  0.51913434]
  [0.35066396 0.694544  ]
  [0.41763267 0.6809244 ]
  [0.65217376 0.30752754]
  [0.6427466  0.3587641 ]
  [0.8817692  0.47158325]
  [0.87940764 0.46767002]
  [0.99018854 0.5318797 ]
  [0.9902848  0.5539278 ]]]",[[0.21057758 0.2211243  0.9902848  0.694544  ]],['person'],1.0,34,down,138.24319480472397,"(454, 159)","(516, 320)","(448, 500)",push_ups.mp4
15:44:27,"[[[0.22874969 0.37868258]
  [0.21969068 0.34343296]
  [0.2218816  0.34760073]
  [0.25586167 0.27174497]
  [0.25415945 0.27808696]
  [0.35472962 0.19781452]
  [0.3638132  0.34731477]
  [0.36729074 0.45852068]
  [0.43447402 0.5250665 ]
  [0.35106528 0.69061947]
  [0.41560456 0.6845958 ]
  [0.65065247 0.27118614]
  [0.6394875  0.34891492]
  [0.8721922  0.44824654]
  [0.8528766  0.4846657 ]
  [0.9720939  0.48775133]
  [0.9860979  0.53382385]]]",[[0.21969068 0.19781452 0.9860979  0.69061947]],['person'],1.0,35,down,167.9682468337197,"(454, 142)","(470, 330)","(449, 497)",push_ups.mp4
15:44:27,"[[[0.23850551 0.34282434]
  [0.22308755 0.30985716]
  [0.22492015 0.3117808 ]
  [0.2594101  0.23656413]
  [0.25864583 0.2405388 ]
  [0.36421344 0.17109449]
  [0.37666544 0.30709967]
  [0.3903035  0.4231475 ]
  [0.43623552 0.5028576 ]
  [0.35210028 0.6812155 ]
  [0.41761214 0.6782773 ]
  [0.6635689  0.25241914]
  [0.6510471  0.31983596]
  [0.88406307 0.44437167]
  [0.88243294 0.4564025 ]
  [0.9737117  0.4711452 ]
  [0.99426657 0.53812563]]]",[[0.22308755 0.17109449 0.99426657 0.6812155 ]],['person'],1.0,36,down,154.9085750233218,"(466, 123)","(499, 304)","(450, 490)",push_ups.mp4
15:44:27,"[[[0.2397129  0.3228804 ]
  [0.22401343 0.28381768]
  [0.22786185 0.2896373 ]
  [0.26215574 0.21078591]
  [0.26696417 0.21757993]
  [0.36416486 0.14540091]
  [0.3898834  0.2733425 ]
  [0.38587937 0.40829837]
  [0.43202788 0.47688293]
  [0.3495768  0.68350726]
  [0.41995195 0.6757126 ]
  [0.6682112  0.22669446]
  [0.66392773 0.30223933]
  [0.8829994  0.4312322 ]
  [0.8804834  0.46290073]
  [0.9807427  0.46102077]
  [0.99433756 0.5240398 ]]]",[[0.22401343 0.14540091 0.99433756 0.68350726]],['person'],1.0,37,down,158.8542548807381,"(466, 104)","(493, 293)","(447, 492)",push_ups.mp4
15:44:28,"[[[0.23852992 0.30063704]
  [0.22263706 0.26314777]
  [0.22411485 0.26778382]
  [0.25975803 0.18473469]
  [0.26275766 0.19149914]
  [0.3671654  0.12830049]
  [0.38812292 0.2556527 ]
  [0.38290584 0.40505832]
  [0.43372554 0.46013534]
  [0.35067955 0.6792407 ]
  [0.4273693  0.6733738 ]
  [0.66620964 0.20746708]
  [0.6576862  0.27259338]
  [0.90032256 0.42829382]
  [0.8837905  0.46099   ]
  [0.9804646  0.46278858]
  [0.9941704  0.5238633 ]]]",[[0.22263706 0.12830049 0.9941704  0.6792407 ]],['person'],1.0,38,down,161.999874473477,"(469, 92)","(490, 291)","(448, 489)",push_ups.mp4
